mapping_id,nbs_id,dataset_id,suitability_dimension,relationship_type,relationship_params,uncertainty_pct,context_overrides,is_scenario_candidate,scenario_label,scenario_description,has_future_projection,baseline_dataset_id,future_dataset_ids,weight_default,weight_adjustable,justification,variable,suitability_family_id,evidence_ids,n_sources,corpus_n,paper_support_pct
agro_slope_global,agroforestry,srtm_dem_90m,biophysical_constraint,trapezoidal,"{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":5.0,""abs_max"":24.0}",60.0,"[{""context_type"":""aez"",""context_id"":""humid_tropics"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":2.9,""abs_max"":24.0},""note"":""Context-specific evidence (ev_slope_nath21, ev_slope_mendonca22, ev_slope_mendonca23, ev_slope_haris21, ev_slope_wotlolan21, ev_slope_chuma21).""},{""context_type"":""aez"",""context_id"":""semi_arid"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":2.3,""abs_max"":5.1},""note"":""Context-specific evidence (ev_slope_haile24).""},{""context_type"":""aez"",""context_id"":""sub_humid_tropics"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":5.0,""abs_max"":15.0},""note"":""Context-specific evidence (ev_slope_ahmad_gop17, ev_slope_seja22, ev_slope_ahmad18, ev_slope_rizvi23).""},{""context_type"":""aez"",""context_id"":""highland_tropics"",""relationship_params"":{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":10.0,""abs_max"":40.0},""note"":""Context-specific evidence (ev_slope_mushtaq23).""}]",false,,,false,,,0.15,true,"Reconciled from 16 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 0.0, 'opt_low': 0.0, 'opt_high': 5.0, 'abs_max': 24.0}; uncertainty ±60% from spread. 4 context override(s). ",slope,agroforestry__planted_silvoarable,,16,36,46.3
agro_annual_precip_global,agroforestry,worldclim_v2_bioclim_precip,biophysical_constraint,trapezoidal,"{""abs_min"":770.0,""opt_low"":800.0,""opt_high"":1000.0,""abs_max"":1500.0}",60.0,"[{""context_type"":""aez"",""context_id"":""humid_tropics"",""relationship_params"":{""abs_min"":1000.0,""opt_low"":2000.0,""opt_high"":3000.0},""note"":""Context-specific evidence (ev_precip_nath21).""},{""context_type"":""aez"",""context_id"":""sub_humid_tropics"",""relationship_params"":{""abs_min"":770.0,""opt_low"":985.0,""opt_high"":1500.0,""abs_max"":1500.0},""note"":""Context-specific evidence (ev_precip_ahmad_gop17, ev_precip_seja22, ev_precip_rizvi23).""}]",false,,,true,worldclim_v2_bioclim,"{""ssp245"":""chelsa_bioclim_ssp245_2050""}",0.15,true,"Reconciled from 10 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 770.0, 'opt_low': 800.0, 'opt_high': 1000.0, 'abs_max': 1500.0}; uncertainty ±60% from spread. 2 context override(s). Dropped 4 (scope/role). ",annual_precipitation,agroforestry__planted_silvoarable,,14,36,41.6
agro_mean_annual_temp_global,agroforestry,worldclim_v2_bioclim_temp,biophysical_constraint,trapezoidal,"{""abs_min"":5.0,""opt_low"":20.0,""opt_high"":25.5,""abs_max"":21.3}",60.0,"[{""context_type"":""aez"",""context_id"":""sub_humid_tropics"",""relationship_params"":{""abs_min"":16.2,""opt_low"":17.9,""opt_high"":19.1,""abs_max"":21.3},""note"":""Context-specific evidence (ev_temp_seja22, ev_temp_ahmad20).""}]",false,,,true,worldclim_v2_bioclim,"{""ssp245"":""chelsa_bioclim_ssp245_2050""}",0.1,true,"Reconciled from 6 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 5.0, 'opt_low': 20.0, 'opt_high': 25.5, 'abs_max': 21.3}; uncertainty ±60% from spread. 1 context override(s). Dropped 2 (scope/role). ",mean_annual_temperature,agroforestry__planted_silvoarable,,7,36,20.0
agro_soil_ph_global,agroforestry,isric_soilgrids250_v2_ph,biophysical_constraint,trapezoidal,"{""abs_min"":5.0,""opt_low"":6.5,""opt_high"":7.3,""abs_max"":8.5}",18.0,,false,,,false,,,0.1,true,"Reconciled from 7 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 5.0, 'opt_low': 6.5, 'opt_high': 7.3, 'abs_max': 8.5}; uncertainty ±18% from spread. Dropped 2 (scope/role). ",soil_ph,agroforestry__planted_silvoarable,,9,36,25.2
agro_soil_organic_carbon_global,agroforestry,isric_soilgrids250_v2_soc,biophysical_constraint,linear_increasing,"{""abs_min"":0.5,""opt_low"":0.8}",60.0,,false,,,false,,,0.08,true,"Reconciled from 6 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 0.5, 'opt_low': 0.8}; uncertainty ±60% from spread. Dropped 1 (scope/role). ",soil_organic_carbon,agroforestry__planted_silvoarable,,7,36,19.6
agro_soil_drainage_global,agroforestry,hwsd_v2,biophysical_constraint,ranked_classes,"{""abs_min"":1.0,""opt_low"":3.0,""opt_high"":4.0,""abs_max"":6.0}",10.0,,false,,,false,,,0.08,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 1.0, 'opt_low': 3.0, 'opt_high': 4.0, 'abs_max': 6.0}; uncertainty ±10% from spread. ",soil_drainage,agroforestry__planted_silvoarable,,3,36,10.0
agro_land_cover_eligibility,agroforestry,esa_worldcover_2021,system_constraint,ranked_classes,"{""class_map"":{""10"":1.0,""20"":0.9,""30"":0.7,""40"":0.5,""50"":0.0,""60"":0.3,""70"":0.0,""80"":0.0,""90"":0.4,""95"":0.0,""100"":0.2},""class_labels"":{""10"":""Tree cover (existing AF potential)"",""20"":""Shrubland (high conversion potential)"",""30"":""Grassland (high conversion potential)"",""40"":""Cropland (primary target)"",""50"":""Built-up (exclude)"",""60"":""Bare/sparse vegetation (low potential)"",""70"":""Snow/ice (exclude)"",""80"":""Permanent water (exclude)"",""90"":""Herbaceous wetland (low, conditional)"",""95"":""Mangroves (different NbS)"",""100"":""Moss/lichen (low)""}}",0.0,,false,,,false,,,0.1,false,"Land cover is an eligibility filter, not a graduated suitability variable. Cropland (class 40) and grassland/pasture (20, 30) are the primary targets for agroforestry integration. Built-up, water, ice, and mangroves are hard exclusions. Used as the primary land-use mask in Ahmad et al. (2020), Castle et al. (2025), Baldwin et al. (2022), and the majority of stocktake papers.",land_cover,agroforestry__planted_silvoarable,,6,36,25.0
agro_protected_areas_exclusion,agroforestry,protected_areas_wdpa,operational_constraint,threshold,"{""threshold"":""IUCN_Cat_I_II"",""above_is_suitable"":false}",0.0,,false,,,false,,,1.0,false,Strict nature reserves (IUCN I–II) prohibit agricultural intervention including agroforestry. Hard exclusion required regardless of biophysical suitability. Chuma et al. (2021) use the Itombwe Nature Reserve boundary as a hard exclusion layer in DR Congo agroforestry suitability mapping. Pinto et al. (2019) use protected area boundaries as planning zones in Montado conservation prioritisation.,protected_area_status,agroforestry__planted_silvoarable,,3,36,13.2
agro_road_access_scenario,agroforestry,osm_road_network,operational_constraint,linear_decreasing,"{""abs_min"":0.0,""opt_low"":0.0,""opt_high"":3.0,""abs_max"":20.0}",60.0,,true,What if roads were accessible?,"Removes road access as a constraint, showing the additional agroforestry opportunity space that would become viable if road infrastructure investments were made. Toggle off to treat all areas as equally accessible for investment planning purposes.",false,,,0.08,true,"Reconciled from 3 evidence unit(s) (weighted median, tier×claim_basis). Global {'abs_min': 0.0, 'opt_low': 0.0, 'opt_high': 3.0, 'abs_max': 20.0}; uncertainty ±60% from spread. ",distance_to_road,agroforestry__planted_silvoarable,,3,36,10.0
agro_aridity_index_global,agroforestry,global_aridity_index_v3,biophysical_constraint,linear_increasing,"{""abs_min"": 0.05, ""opt_low"": 0.65}",20.0,,false,,,false,,,0.08,true,"[PLACEHOLDER -- PENDING TEAM REVIEW, 2026-09] Original abs_min=5000/opt_low=35000 traced to zero surviving evidence: of 9 EV_evidence_register rows tagged aridity_index+agroforestry, the ones with numeric content (Brandt 2015, KCSAP 2016, a Zomer14 duplicate) are all review_state=dropped (reason:off_scope); the 2 that survived review (Zomer 2014, Ahmad 2020) give only a QUALITATIVE direction (more arid = worse for tree cover/agroforestry suitability), no numeric threshold. Interim values here use the standard UNEP (1992) aridity classification (hyper-arid <0.05, humid >=0.65 -- confirmed against IPCC AR6 WGII and UNCCD), chosen because it matches Zomer 2014s surviving finding that high tree cover concentrates in humid regions. NOT evidence-extracted -- needs Namita/team sign-off before treating as final.",aridity_index,agroforestry__planted_silvoarable,,1,36,2.8
