title,year,cites,open_access,doi,venue,status,date_seen,sweep,note
The potential of agroforestry to buffer climate change impacts on suitability of coffee and banana in Uganda,2024,17,True,https://doi.org/10.1007/s10457-024-01025-3,Agroforestry Systems,extracted,2026-06-19,openalex_af_2026-06,cached .cache/corpus/abigaba_2024.pdf; extracted to SRC/EV (openalex_af_2026-06)
"Suitability mapping of agroforestry in Shimla district, Himachal Pradesh, India, using analytic hierarchy process (AHP) and fuzzy analytic hierarchy process (Fuzzy AHP)",2025,5,False,https://doi.org/10.1007/s10457-025-01194-9,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
Assessing Soil and Land Suitability of an Olive–Maize Agroforestry System Using Machine Learning Algorithms,2024,5,True,https://doi.org/10.3390/crops4030022,Crops,acquire_failed,2026-06-19,openalex_af_2026-06,OA download blocked (403 / landing-page only)
"Enhancing Coffee Agroforestry Systems Suitability Using Geospatial Analysis and Sentinel Satellite Data in Gedeo Zone, Ethiopia",2024,4,True,https://doi.org/10.3390/s24196287,Sensors,acquire_failed,2026-06-19,openalex_af_2026-06,OA download blocked (403 / landing-page only)
"Comprehensive Assessment of Land Criticality and Agroforestry Suitability in the Upper Cikeruh Sub-Watershed, a Degraded Priority Area in Indonesia",2025,3,True,https://doi.org/10.3390/su17062675,Sustainability,deferred,2026-06-19,openalex_af_2026-06,
"Agroforestry suitability evaluation using remote sensing in Jatiyoso Sub-district, Karanganyar District, Central Java, Indonesia",2024,3,True,https://doi.org/10.13057/biodiv/d241239,Biodiversitas Journal of Biological Diversity,deferred,2026-06-19,openalex_af_2026-06,
"Evaluating agroforestry systems for sustainable land management and climate resilience in Siddipet District, central agroclimatic zone, Telangana, India",2025,2,False,https://doi.org/10.1080/21683565.2025.2508203,Agroecology and Sustainable Food Systems,deferred,2026-06-19,openalex_af_2026-06,
"Suitability analysis for agroforestry in District Hamirpur of Himachal Pradesh, India by using AHP method",2025,1,False,https://doi.org/10.1007/s10457-025-01139-2,Agroforestry Systems,deferred,2026-06-19,openalex_af_2026-06,
"Suitability of Melia dubia Based Agroforestry in Eastern Uttar Pradesh, India",2024,1,True,https://doi.org/10.52804/ijaas2024.522,International Journal of Agricultural and Applied Sciences,deferred,2026-06-19,openalex_af_2026-06,
"Evaluating land suitability for kemiri (Aleurites moluccana) as a multi-purpose tree species in community agroforestry land within Langkat District, North Sumatra",2024,1,True,https://doi.org/10.32734/gfj.v2i02.15626,Global Forest Journal,deferred,2026-06-19,openalex_af_2026-06,
