binding_id,variable,scope_type,scope_id,dataset_id,preference_rank,status,fitness_note,band
slope__global,slope,global,,srtm_dem_30m,1,catalogued,30 m SRTM; derive-then-aggregate for slope.,
annual_precipitation__global,annual_precipitation,global,,chelsa_bioclim_v21_baseline,1,catalogued,CHELSA v2.1 BIO12 (annual precip) — bias-corrected high-res; preferred over CHIRPS for static climatology.,BIO12
cocoa_distribution__global,cocoa_distribution,global,,mapspam_cocoa_2020,2,catalogued,MapSPAM ~10 km harvested-area fraction — coarse global default.,
cocoa_distribution__SLE,cocoa_distribution,admin_country,SLE,,1,requires_upload,"National EO cocoa map (~10 m, 2023) known to exist; upload to override MapSPAM for the SLE pilot.",
mean_annual_temperature__global,mean_annual_temperature,global,,chelsa_bioclim_v21_baseline,1,catalogued,"CHELSA BIO1 = annual mean temperature; multi-band asset, band-resolved via this binding.",BIO1
production_gap__cropping_rainfed,production_gap,farming_system,cropping_rainfed,,1,requires_upload,Cropping-rainfed yield gap — GAEZ v4 attainable-vs-actual or MapSPAM-derived; pilot binding to be uploaded.,
production_gap__cropping_irrigated,production_gap,farming_system,cropping_irrigated,,1,requires_upload,Cropping-irrigated yield gap — GAEZ v4 irrigated attainable-vs-actual; pilot binding to be uploaded.,
production_gap__mixed_crop_livestock,production_gap,farming_system,mixed_crop_livestock,,1,requires_upload,Mixed systems: composite of crop yield gap and livestock-productivity gap; livestock side often thinner — flag for upload.,
production_gap__pastoral_rangeland,production_gap,farming_system,pastoral_rangeland,,1,requires_upload,Rangeland NPP gap (e.g. MODIS NPP vs CASA potential); livestock side often thinner — requires_upload by default.,
production_gap__agro_pastoral,production_gap,farming_system,agro_pastoral,,1,requires_upload,Agro-pastoral composite (cropping yield-gap + NPP-gap) — pilot upload.,
production_gap__tree_perennial,production_gap,farming_system,tree_perennial,,1,requires_upload,Tree-perennial production gap — MapSPAM-based attainable for the perennial; per-crop binding (cocoa/coffee/etc.) preferred.,
heat_stress_hazard__global,heat_stress_hazard,global,,chelsa_bioclim_v21_baseline,1,catalogued,"CHELSA BIO5 = max temperature of warmest month — proxy for heat-stress exposure; multi-band asset, band-resolved.",BIO5
rural_poverty__global,rural_poverty,global,,world_bank_poverty_pip,1,catalogued,WB PIP subnational poverty headcount at admin1 (admin2 where available).,
