source_id,citation,doi,benchmark_tier,study_country,region,coords,aez,farming_system,method_type,spatial_scale,analysis_resolution_m,nbs_ids,vars_extracted,extraction_status,extraction_date,extraction_run_id,extractor,source_kind,url,artifact_sha1,retrieved_at,access_status,source_category,library_path,license
batcheler_silvopasture_2024,"Batcheler, M. et al. (2024). Assessing silvopasture management as a strategy to reduce fuel loads and mitigate wildfire risk. Scientific Reports.",10.1038/s41598-024-56104-3,medium,United States,Washington,,temperate_europe,pastoral_rangeland,empirical,plot,,agroforestry,annual_precipitation|fire_hazard|land_cover|mean_annual_temperature|slope|soil_water_retention|tree_canopy_cover|wildfire_mitigation,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),paper,https://doi.org/10.1038/s41598-024-56104-3,fe693702ab9d5a4b3758fdfcf77c63ebfb53b0a9,2026-06-16,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/batcheler_silvopasture_2024.pdf,cc-by
castle_sr_2021,"Castle, S. E. et al. (2021). The impacts of agroforestry on agricultural productivity, ecosystem services, and human well‐being in low‐ and middle‐income countries: A systematic review. Campbell Systematic Reviews.",10.1002/cl2.1167,high,Global,LMICs,,,,empirical,global,,agroforestry,adoption_rate|biodiversity_outcome|crop_yield|ecosystem_service|extension_governance|finance_credit_access|food_security|household_income|labour_availability|market_value_chain|tenure_security,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),paper,https://doi.org/10.1002/cl2.1167,95ba0f730eda9ca268bf108b0ce70415fd271b6a,2026-06-16,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/castle_sr_2021.pdf,cc-by
fesenmyer_2025,"Fesenmyer, K. A. et al. (2025). Addressing critiques refines global estimates of reforestation potential for climate change mitigation. Nature Communications, 16, 4572.",10.1038/s41467-025-59799-8,high,Global,,,,,empirical,global,30,agroforestry,accessibility_travel_time|slope|tenure_security|tree_canopy_cover,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),paper,https://doi.org/10.1038/s41467-025-59799-8,b90c836e56652633f6e9f538201f4143a7b91d09,2026-06-16,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/fesenmyer_2025.pdf,cc-by
quandt_resilience_2017,"Quandt, A. et al. (2017). The role of agroforestry in building livelihood resilience to floods and drought in semiarid Kenya. Ecology and Society.",10.5751/es-09461-220310,high,Kenya,East Africa,,semi_arid,mixed_crop_livestock,empirical,subnational,,agroforestry,drought_hazard|erosion_hazard|flood_hazard|microclimate_buffering|windbreak_protection,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),paper,https://doi.org/10.5751/es-09461-220310,75bd76775c787da43afc12ce162431d7c4aff7a5,2026-06-16,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/quandt_resilience_2017.pdf,cc-by
sprenkle_hyppolite_2024,"Sprenkle-Hyppolite, S., Griscom, B., Griffey, V., Munshi, E., & Chapman, M. (2024). Maximizing tree carbon in croplands and grazing lands while sustaining yields. Carbon Balance and Management, 19(1), 23.",10.1186/s13021-024-00268-y,high,Global,,,,,empirical,global,1000,agroforestry,carbon_sequestration|crop_yield|soil_organic_carbon|tree_canopy_cover,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),paper,https://doi.org/10.1186/s13021-024-00268-y,85f5acfeb83118beb3ec09bf83fa9235d541ad4d,2026-06-16,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/sprenkle_hyppolite_2024.pdf,cc-by-nc-nd
wb_fsrp_2022,World Bank (2022). Food Systems Resilience Program for Eastern and Southern Africa. Project Appraisal Document.,P178566,high,Regional,SSA,,,,empirical,regional,,agroforestry,beneficiaries|climate_shock|conflict_fragility_index|crop_yield|economic_return|erosion_hazard|extension_governance|flood_hazard|project_cost|soil_organic_carbon|soil_ph|tenure_security,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),grey_lit,,e7bd9f44568b3406acfbbbf9555f965261cd0ca2,2026-06-16,unknown,grey,D591_Rural-Scan_NBS/2_Technical_&_Data/library/0_Methodology_&_Frameworks/wb_fsrp_2022.pdf,
wb_kcsap_2016,World Bank (2016). Kenya Climate Smart Agriculture Project. Project Appraisal Document.,P154784,high,Kenya,SSA,,,,empirical,national,,agroforestry,annual_precipitation|aridity_index|beneficiaries|crop_yield|drought_hazard|economic_return|erosion_hazard|extension_governance|finance_credit_access|flood_hazard|land_cover|market_value_chain|project_cost|tenure_security,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),grey_lit,,1c5351ef8b4eb07d1dab9855853bb2f71d8b767a,2026-06-16,unknown,grey,D591_Rural-Scan_NBS/2_Technical_&_Data/library/0_Methodology_&_Frameworks/wb_kcsap_2016.pdf,
zomer_2014,"Zomer et al. (2014). Trees on farm, global.",10.1038/srep29987,high,Global,,,,,empirical,global,1000,agroforestry,aridity_index|carbon_sequestration|land_cover|soil_organic_carbon|tree_canopy_cover,complete,2026-06-16,reextract_2026-06-16,claude-sonnet-4-6 (gated pipeline),paper,https://doi.org/10.1038/srep29987,531e7714686874b93834f34a90f383ccadb8be36,2026-06-16,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/zomer_2014.pdf,cc-by
ahmad_2017,"Ahmad, Firoz; Goparaju, Laxmi (2017). Land Evaluation in terms of Agroforestry Suitability, an Approach to Improve Livelihood and Reduce Poverty: A FAO based Methodology by Geospatial Solution: A case study of Palamu district, Jharkhand, India. Ecological Questions.",10.12775/eq.2017.006,Low,India,,,,,empirical,,,agroforestry,annual_precipitation|erosion_hazard|food_security|household_income|land_cover|slope|soil_organic_carbon|soil_ph|soil_water_retention,complete,,,,paper,https://doi.org/10.12775/eq.2017.006,1aef5e49459025006dff2d19f23422f38a7d209c,2026-06-17,open_access,stock,"D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Ahmad and Goparaju - 2017 - Land Evaluation in terms of Agroforestry Suitability, an Approach to Improve Livelihood and Reduce P.pdf",
ahmad_2018,"Ahmad, Firoz; Uddin, Md Meraj; Goparaju, Laxmi (2018). Assessment of remote sensing and GIS application in identification of land suitability for agroforestry: A case study of Samastipur, Bihar, India. Contemporary Trends in Geoscience.",10.2478/ctg-2018-0015,Low,India,,,,,empirical,,,agroforestry,climate_shock|crop_yield|erosion_hazard|food_security|land_cover|slope|soil_organic_carbon|soil_ph|tree_canopy_cover,complete,,,,paper,https://doi.org/10.2478/ctg-2018-0015,4ca63264c6b3d69ed765e278da0ac88349c7baed,2026-06-17,open_access,stock,D591_Rural-Scan_NBS/2_Technical_&_Data/Stocktake Review/Manual Screening/Zotero_Full_Text_Screening/Agroforestry/Ahmad et al. - 2018 - Assessment of remote sensing and GIS application in identification of land suitability for agrofores.pdf,
