variable_id,variable,mcda_role,theme,dataset_id,directionality_of_concern,ttl_priority_label,ttl_priority_description,is_climate_risk_component,aggregation_method,normalisation_method,weight_default,has_future_projection,is_active,evidence_ids
drought_hazard,drought_hazard,priority,climate_hazard,spei_global_v26,higher_is_more_concern,Drought hazard,Long-term SPEI-based drought severity / frequency — areas where dry climatic stress is high.,true,weighted_mean,minmax,0.33,true,true,[]
flood_hazard,flood_hazard,priority,climate_hazard,jrc_global_flood_hazard,higher_is_more_concern,Flood hazard,Return-period flood depth/extent — areas exposed to riverine/pluvial flooding.,true,weighted_mean,minmax,0.33,true,true,[]
heat_stress_hazard,heat_stress_hazard,priority,climate_hazard,chelsa_bioclim_v21_baseline,higher_is_more_concern,Heat stress,"Frequency of extreme-heat days (Tmax or heat-index) — heat-stress exposure for crops, livestock and labour.",true,weighted_mean,minmax,0.34,true,true,[]
soil_erosion_risk,soil_erosion_risk,priority,nbs_response,,higher_is_more_concern,Soil erosion risk,RUSLE-class soil-erosion risk — where soil-conservation NbS would have the largest mitigation effect.,false,weighted_mean,minmax,0.34,false,true,[]
carbon_sequestration_potential,carbon_sequestration_potential,priority,nbs_response,fao_gsoc_map,higher_is_more_concern,Carbon sequestration potential,FAO GSOCseq-style additional-SOC potential — where NbS would deliver the largest carbon co-benefit.,false,weighted_mean,minmax,0.33,false,true,[]
biodiversity_priority,biodiversity_priority,priority,nbs_response,bii_nhm_global,higher_is_more_concern,Biodiversity priority,"Biodiversity Intactness Index (BII, Newbold et al. 2016) at ~1 km global. Use (1 − BII) as priority: lower-intactness pixels surface as higher concern. KBA polygons recommended as supplementary high-priority binary flag.",false,weighted_mean,minmax,0.33,false,true,[]
water_stress,water_stress,priority,people_production,wri_aqueduct_water_stress,higher_is_more_concern,Water stress,Composite water-stress index — exposure to agricultural / human water-availability constraints.,false,weighted_mean,minmax,0.25,false,true,[]
rural_poverty,rural_poverty,priority,people_production,world_bank_poverty_pip,higher_is_more_concern,Rural poverty,WB PIP subnational poverty headcount — concentration of rural poor.,false,weighted_mean,minmax,0.25,false,true,[]
production_gap,production_gap,priority,people_production,,higher_is_more_concern,Production gap,Shortfall vs attainable productivity for the dominant farming system. Per-system metric resolved via BIND (yield gap / NPP gap / mixed).,false,weighted_mean,minmax,0.25,false,true,[]
agricultural_dependency,agricultural_dependency,priority,people_production,ilo_labour_statistics,higher_is_more_concern,Agricultural dependency,Share of livelihoods / employment dependent on the agricultural sector — where ag-NbS shocks/benefits hit hardest.,false,weighted_mean,minmax,0.25,false,true,[]
gender_inequity,gender_inequity,priority,equity_inclusion,undp_gii_national,higher_is_more_concern,Gender inequity (national),National-level gender-inequity index. Subnational disaggregation requires_upload.,false,weighted_mean,minmax,0.5,false,true,[]
iplc_lands,iplc_lands,priority,equity_inclusion,landmark_iplc_lands,higher_is_more_concern,IPLC lands presence,Indigenous & community lands within the opportunity space (LandMark + WWF/ICCA). Subnational equity-priority signal — surfaces marginalised communities and triggers FPIC/ESS7 flag for M6 hand-off. Coverage patchy — absence ≠ no IPLC presence.,false,weighted_mean,minmax,0.5,false,true,[]
rural_population,rural_population,descriptor,context,worldpop_population_density,no_direction,Rural population,Rural population density — context for hand-off (how many people are in the hotspot).,false,weighted_mean,minmax,0.0,false,true,[]
accessibility_travel_time,accessibility_travel_time,descriptor,context,nelson_accessibility_2015,no_direction,Market access,"Accessibility — travel time to large markets. Context, not a hotspot driver.",false,weighted_mean,minmax,0.0,false,true,[]
farm_size,farm_size,descriptor,context,lesiv_smallholder_farm_size,no_direction,Farm size,Mean farm size / smallholder share — context for which NbS suits the agrarian structure.,false,weighted_mean,minmax,0.0,false,true,[]
agricultural_production_value,agricultural_production_value,descriptor,context,mapspam_v2,no_direction,Agricultural production value,MapSPAM-style gridded production value — context on what's at stake economically.,false,weighted_mean,minmax,0.0,false,true,[]
