date,reviewed_through,dominant_reason,off_scope_rate_pct,adjustment,commit,note
2026-06-18,15,off_scope,85.7,check_scope.py (T4 section-scope) + section-scope rule in extract-evidence skill,01d5404,off_scope=86% of drops; carbon/biomass/study-site sections extracted as T4 suitability claims
2026-06-18,15,off_scope,85.7,scope-verify re-eval (workflow wf_585c0d8a): 61/154 T4 units re-flagged verdict=scope for QA,edd93d8,judge 154 -> 84 candidates -> 61 confirmed off-scope; methods+problem_intro+study_site+source_mis_scope
2026-06-18,15,off_scope,85.7,requote re-extract (wf_32b9f2af): 1 expanded + 16 narrow/species flagged for QA,ae4f158,verbatim gate rejected 2/3 LLM expansions; wotlolan species envelopes flagged
2026-06-18,73,off_scope,88.9,"fragment re-extract (wf_d0a190c4 + wf_38ca1f57): 53 quotes expanded to full sentences, fragments 80->20",126b689,remaining ~20 are stubborn table/OCR fragments; LLM re-extract hits diminishing returns
2026-06-22,68,off_scope,83.0,check_scope +results_description/trend_description/speculation signals; extract-evidence defect catalogue (enabling-env != T4; speculation; vote-vs-threshold),93718f4,From peetmate QA notes 2026-06-22: off_scope persists (~84%); dominant new theme = enabling-environment vars mis-routed to T4 (should be M2b soft-operational) [corrected 2026-06-22: cursor was raw review_log rows (220); review_log dedups to 68 distinct reviews — see review.latest_review_rows]
2026-06-22,68,off_scope,83.0,check_numbers float-aware compare + leading-dot decimals (41->35 false positives suppressed),c9d2338,Deeper review pass: all 41 number-flags triaged legit (conversions/expansions/formatting/class-labels); 0 smuggled. check_quote 42 = known stubborn table fragments.
2026-06-23,106,off_scope,64.6,check_scope allocation_result signal + ported 2026-06-23 defects (wrong_table/wrong_practice/relationship_missed/uninterpretable_weight) to active SKILL.md; sweep_metrics reviews_logged fix,06d69e6,"sweep agroforestry-qa-2026-06-23: numberprov 14.5->9.5, verify 39.7->28.9; 106 distinct reviews, dominant off_scope"
2026-07-14,271,other,37.1,"check_species.py (species mis-tag) + check_scope land_cover_no_classes/land_capability + reclassify-keep tooling + reason-code cleanup (unusable_value, table_error); ruleset v1.2",9bf7221,"2026-07 sweep-retro: 165 decisions triaged. Dominant new signals: species_envelope (retag+keep, not drop), constrained_aoi/INAB residual-land, land_cover-no-classes. Species evidence now banked (34 active) not dropped."
2026-07-14,288,other,37.1,"reclassify resolutions applied (no new defect): 38 species/crop rows retagged claim_scope+taxon and KEPT (21 restored #183 + 17 active mis-tags #184) — species_envelope resolved via reclassify-keep, not drop",,2026-07 sweep-retro tail: the taxon-set-but-practice mis-tag (check_species species_mistag_taxon_set) + reclassify tooling landed in #182; these 38 are the applied resolutions. No new human review defects since cursor=271.
2026-08-06,315,other,32.9,"Triaged 27 accumulated QA review decisions (2026-08 review-cleanup retro). All map to EXISTING catalogue defects — site_context/off_scope x6 (study-context-as-rule), insufficient_context x6 (table-without-caption), unusable_value x5 (directional-no-scale), wrong_table, speculative_evidence, smuggled_number — none new. Reinforced the extract-evidence catalogue head with a 'TOP HUMAN-FLAGGED DEFECTS' callout (reviewer-verbatim) elevating the 3 still-dominant patterns; ruleset v1.4.2 + snapshot.",,"no new defect type; recurrence signals extraction-time prevention, not detection, is the gap. verify_rate_pct 17.2 (down 6.3). Next extraction sweep: watch study-context + table-caption."
2026-08-06,334,unspecified,32.4,"Post-merge top-up: +19 QA decisions arrived via a concurrent QA-review merge to main (14 ok/confirmed, 4 drops [insufficient_context x2, off_scope, speculative], 1 flag [lohbeck: don't hard-constrain FMNR to a 950mm range — reinforces site_context #16]). All map to existing catalogue defects; no new pattern. Cursor 315 -> 334.",,"reviewer flag 'do not constrain FMNR to a hard 950mm/yr range' = the study-context-as-threshold defect (#16), already covered by the TOP HUMAN-FLAGGED callout."
