source_id,nbs_id,family,tables,citation,doi,url,access_status,blocker,access_route,target_library_path,status,assigned,date_added,note,doi_verified
ijecc_anr_niger_2023,agroforestry,regeneration_farmland,T4|T6,Boukary et al. (2023). How does Assisted Natural Regeneration (ANR) Improve  Soil Fertility and Plant Cover  in the Simiri Commune in Niger?. International Journal of Environment and Climate Change.,10.9734/ijecc/2023/v13i113205,https://journalijecc.com/index.php/IJECC/article/view/3205,oa,OA (websearch:publisher-OA/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/ijecc_anr_niger_2023.pdf,pending,Namita-J,2026-07-27,gold OA; browser download works | free PDF via publisher-OA [high]: https://journalijecc.com/index.php/IJECC/article/view/3205,true
esj_rna_millet_2020,agroforestry,regeneration_farmland,T6|T3,Manssour et al. (2020). Impact De La Combinaison Regeneration Naturelle Assistee (Rna) Et Engrais En Microdose Sur La Productivite Du Mil (Pennisetum Glaucum (L.) R. Br.) Au Niger. European Scientific Journal ESJ.,10.19044/esj.2020.v16n9p82,https://eujournal.org/index.php/esj/article/download/12774/12487,oa,OA (websearch:publisher-OA/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/esj_rna_millet_2020.pdf,pending,Namita-J,2026-07-27,gold OA; French | free PDF via publisher-OA [high]: https://eujournal.org/index.php/esj/article/download/12774/12487,true
kessler_1994,agroforestry,regeneration_farmland,T4,"Gijsbers et al. (1994). Dynamics and natural regeneration of woody species in farmed parklands in the Sahel region (Province of Passore, Burkina Faso). Forest Ecology and Management.",10.1016/0378-1127(94)90122-8,https://research.wur.nl/en/publications/dynamics-and-natural-regeneration-of-woody-species-in-farmed-park,oa,OA (Unpaywall:repository),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/kessler_1994.pdf,pending,Namita-J,2026-07-27,seminal parkland-regeneration field study | OA via Unpaywall (repository),true
ldd_anr_arid_2024,agroforestry,regeneration_farmland,T4,del Mar González et al. (2024). How much can assisted natural regeneration contribute to ecological restoration in arid lands?. Land Degradation &amp; Development.,10.1002/ldr.5212,https://doi.org/10.1002/ldr.5212,paywalled,wiley_paywall,Institutional access (Wiley) via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/ldd_anr_arid_2024.pdf,pending,Namita-J,2026-07-27,aridity envelope for ANR (High tier) | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
haglund_2011,agroforestry,regeneration_farmland,T6|T3,Haglund et al. (2011). Dry land tree management for improved household livelihoods: Farmer managed natural regeneration in Niger. Journal of Environmental Management.,10.1016/j.jenvman.2011.01.027,https://oar.icrisat.org/1659/,oa,OA (websearch:agency-repo/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/haglund_2011.pdf,pending,Namita-J,2026-07-27,measured yield/livelihood outcomes Niger (High) | free PDF via agency-repo [med]: https://oar.icrisat.org/1659/,true
binam_2015,agroforestry,regeneration_farmland,T6,Binam et al. (2015). Effects of farmer managed natural regeneration on livelihoods in semi-arid West Africa. Environmental Economics and Policy Studies.,10.1007/s10018-015-0107-4,https://www.cifor-icraf.org/knowledge/publication/31701/,oa,OA (websearch:cifor/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/binam_2015.pdf,pending,Namita-J,2026-07-27,econometric FMNR income effect (High) | free PDF via cifor [med]: https://www.cifor-icraf.org/knowledge/publication/31701/,true
peri_patagonia_waterbalance_2002,agroforestry,silvopastoral,T4,Gyenge et al. (2002). Silvopastoral systems in Northwestern Patagonia II: water balance and water potential in a stand of Pinus ponderosa and native grassland. Agroforestry Systems.,10.1023/A:1020269432671,https://doi.org/10.1023/A:1020269432671,paywalled,springer_paywall,Institutional access (Springer) via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/peri_patagonia_waterbalance_2002.pdf,pending,Namita-J,2026-08-04,F3 T4 water/aridity envelope for silvopasture (unique signal; not covered by OA Brazilian density papers) | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
pasture_tree_density_atlantic_2007,agroforestry,silvopastoral,T4,Rozados-Lorenzo et al. (2007). Pasture production under different tree species and densities in an Atlantic silvopastoral system. Agroforestry Systems.,10.1007/s10457-007-9032-2,https://doi.org/10.1007/s10457-007-9032-2,paywalled,springer_paywall,Institutional access (Springer) via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/pasture_tree_density_atlantic_2007.pdf,pending,Namita-J,2026-08-04,F3 T4 tree-density -> forage-production threshold (strengthens density consensus alongside OA SciELO/AGEE Brazilian papers) | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
bayala2015_parkland_processes_sahel,agroforestry,planted_silvoarable,T4,"Bayala et al. (2015). Advances in knowledge of processes in soil–tree–crop interactions in parkland systems in the West African Sahel: A review. Agriculture, Ecosystems &amp; Environment.",10.1016/j.agee.2015.02.018,https://repo.mel.cgiar.org/items/4e9e660e-2889-44d2-b502-0592bd7d63d1,oa,OA (websearch:cgiar-mel/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/bayala2015_parkland_processes_sahel.pdf,pending,Namita-J,2026-08-05,CGIAR institutional access likely (ICRAF authorship). Practice-level parkland biophysical review; core T4 F1 source. | free PDF via cgiar-mel [med]: https://repo.mel.cgiar.org/items/4e9e660e-2889-44d2-b502-0592bd7d63d1,true
bayala2014_trees_preferential_flow_parkland,agroforestry,planted_silvoarable,T4,Bargués Tobella et al. (2014). The effect of trees on preferential flow and soil infiltrability in an agroforestry parkland in semiarid Burkina Faso. Water Resources Research.,10.1002/2013wr015197,https://pmc.ncbi.nlm.nih.gov/articles/PMC4302979,oa,OA (websearch:publisher-OA/PMC/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/bayala2014_trees_preferential_flow_parkland.pdf,pending,Namita-J,2026-08-05,Soil-hydrology suitability mechanism; med priority. | free PDF via publisher-OA/PMC [high]: https://pmc.ncbi.nlm.nih.gov/articles/PMC4302979,true
india_fao_agroforestry_suitability_mapping_2017,agroforestry,planted_silvoarable,T4,"Ahmad et al. (2017). FAO guidelines and geospatial application for agroforestry suitability mapping: case study of Ranchi, Jharkhand state of India. Agroforestry Systems.",10.1007/s10457-017-0145-y,https://www.academia.edu/34984989/FAO_guidelines_and_geospatial_application_for_agroforestry_suitability_mapping_case_study_of_Ranchi_Jharkhand_state_of_India,oa,OA (websearch:academia/researchgate/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/india_fao_agroforestry_suitability_mapping_2017.pdf,pending,Namita-J,2026-08-05,Explicit FAO-based criteria set + weights for agroforestry suitability in an LMIC — high-value T4 method reference. Confirm silvoarable/alley scoping vs generic agroforestry on full text. | free PDF via academia/researchgate [high]: https://www.academia.edu/34984989/FAO_guidelines_and_geospatial_application_for_agroforestry_suitability_mapping_case_study_of_Ranchi_Jharkhand_state_of_India,true
lal_alley_erosion_hilly_philippines_1995,agroforestry,planted_silvoarable,T3,Paningbatan et al. (1995). Alley cropping for managing soil erosion of hilly lands in the Philippines. Soil Technology.,10.1016/0933-3630(95)00019-4,https://doi.org/10.1016/0933-3630(95)00019-4,paywalled,"paywalled (Elsevier, closed)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/lal_alley_erosion_hilly_philippines_1995.pdf,pending,Namita-J,2026-08-05,High-priority LMIC erosion-control F1 benchmark; CGIAR institutional access. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
kang_econ_erosion_alley_notill_nigeria_1990,agroforestry,planted_silvoarable,T3,"Ehui et al. (1990). Economic analysis of soil erosion effects in alley cropping, no-till and bush fallow systems in South Western Nigeria. Agricultural Systems.",10.1016/0308-521x(90)90013-g,https://doi.org/10.1016/0308-521x(90)90013-g,paywalled,"paywalled (Elsevier, closed)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/kang_econ_erosion_alley_notill_nigeria_1990.pdf,pending,Namita-J,2026-08-05,IITA/Nigeria seminal erosion-response evidence. | possible free copy (LOW conf-verify): https://www.ilri.org/knowledge/publications/economic-analysis-soil-erosion-effects-alley-cropping-no-till-and-bush,true
antecedent_soilmoist_runoff_erosion_alley_2007,agroforestry,planted_silvoarable,T3,Wei et al. (2007). Effects of antecedent soil moisture on runoff and soil erosion in alley cropping systems. Agricultural Water Management.,10.1016/j.agwat.2007.08.007,https://doi.org/10.1016/j.agwat.2007.08.007,paywalled,"paywalled (Elsevier, closed)",Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/antecedent_soilmoist_runoff_erosion_alley_2007.pdf,pending,Namita-J,2026-08-05,Highest-cited true hit; runoff/erosion response. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
alley_oilpalm_microclimate_moderation_2019,agroforestry,planted_silvoarable,T3,Ashraf et al. (2019). Alley-cropping system increases vegetation heterogeneity and moderates extreme microclimates in oil palm plantations. Agricultural and Forest Meteorology.,10.1016/j.agrformet.2019.107632,https://www.semanticscholar.org/paper/Alley-cropping-system-increases-vegetation-and-in-Ashraf-Sanusi/f0ad48857b3e6a2da6e1b077160709880d965999,oa,OA (websearch:semanticscholar/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/alley_oilpalm_microclimate_moderation_2019.pdf,pending,Namita-J,2026-08-05,Indonesia LMIC; heat/microclimate buffering evidence. | free PDF via semanticscholar [med]: https://www.semanticscholar.org/paper/Alley-cropping-system-increases-vegetation-and-in-Ashraf-Sanusi/f0ad48857b3e6a2da6e1b077160709880d965999,true
walnut_alley_drought_shade_winterpea_2021,agroforestry,planted_silvoarable,T3,Blanchet et al. (2021). Interactions between drought and shade on the productivity of winter pea grown in a 25‐year‐old walnut‐based alley cropping system. Journal of Agronomy and Crop Science.,10.1111/jac.12488,https://agritrop.cirad.fr/597986/,oa,OA (websearch:agency-CIRAD-Agritrop/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/walnut_alley_drought_shade_winterpea_2021.pdf,pending,Namita-J,2026-08-05,Drought x shade productivity response. | free PDF via agency-CIRAD-Agritrop [med]: https://agritrop.cirad.fr/597986/,true
bayard2006_haiti_alleycrop_econ,agroforestry,planted_silvoarable,T6,Bayard et al. (2007). The economics of adoption and management of alley cropping in Haiti. Journal of Environmental Management.,10.1016/j.jenvman.2006.05.001,https://doi.org/10.1016/j.jenvman.2006.05.001,paywalled,paywalled_elsevier,Institutional access via CGIAR library,D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/bayard2006_haiti_alleycrop_econ.pdf,pending,Namita-J,2026-08-05,High-value LMIC adoption + management economics for alley cropping (T6). Needs CGIAR institutional access -> Namita-J. | web-searched 2026-08: no free copy (institutional); check ResearchGate manually.,true
mugendi1999_kenya_alleycrop_maize,agroforestry,planted_silvoarable,T6,Mugendi et al. (1999). Alley cropping of maize with calliandra and leucaena in the subhumid highlands of Kenya: Part 2. Soil-fertility changes and maize yield. Agroforestry Systems.,10.1023/a:1006288301044,https://ir-library.ku.ac.ke/server/api/core/bitstreams/702a3873-aded-41f7-ab1e-25b204b89d70/content,oa,OA (websearch:university-repo/med),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/mugendi1999_kenya_alleycrop_maize.pdf,pending,Namita-J,2026-08-05,Seminal LMIC alley-cropping maize-yield trial (T6 yield). Needs institutional access -> Namita-J. | free PDF via university-repo [med]: https://ir-library.ku.ac.ke/server/api/core/bitstreams/702a3873-aded-41f7-ab1e-25b204b89d70/content,true
gomes2020_microclimate_soil_water_loss_coffee_af,agroforestry,shaded_perennial,T3,de Carvalho et al. (2020). Microclimate and soil and water loss in shaded and unshaded agroforestry coffee systems. Agroforestry Systems.,10.1007/s10457-020-00567-6,https://www.researchgate.net/profile/Mayara-Daher/publication/346325001_Microclimate_and_soil_and_water_loss_in_shaded_and_unshaded_agroforestry_coffee_systems/links/5fbe6702a6fdcc6cc6656cf2/Microclimate-and-soil-and-water-loss-in-shaded-and-unshaded-agroforestry-coffee-systems.pdf,oa,OA (websearch:researchgate/high),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/gomes2020_microclimate_soil_water_loss_coffee_af.pdf,pending,Namita-J,2026-08-05,Screened-in for erosion/soil-water hazard-response. Needs CGIAR institutional download (Namita-J). Do not place PDF in git; upload to SharePoint library on acquisition and set SRC.library_path. | free PDF via researchgate [high]: https://www.researchgate.net/profile/Mayara-Daher/publication/346325001_Microclimate_and_soil_and_water_loss_in_shaded_and_unshaded_agroforestry_coffee_systems/links/5fbe6702a6fdcc6cc6656cf2/Microclimate-and-soil-and-water-loss-in-shaded-and-unshaded-agroforestry-coffee-systems.pdf,true
vaast2016_double_dividend,agroforestry,shaded_perennial,T6,Vaast P. & Somarriba E. (2014/2016). Shaded coffee and cocoa – double dividend for biodiversity and small-scale farmers. Ecological Economics / Agroforestry Systems.,,https://www.cifor.org/knowledge/publication/5553,oa,OA (Unpaywall:repository),OA — browser/repository download (no institutional access needed),D591_Rural-Scan_NBS/2_Technical_&_Data/library/1_Agroforestry/vaast2016_double_dividend.pdf,pending,Namita-J,2026-08-05,F5-core biodiversity + smallholder income synthesis. CGIAR institutional download for Namita-J. Verify exact DOI/venue on retrieval (Elsevier). | OA via Unpaywall (repository) | DOI FAILED verification (title_mismatch); original DOI blanked — acquire by TITLE.,false
