NbS_Group,ID,Source_title,Organisation__authoring_body,Year,Document_type,Geography,Spatial_approach,Scalability_A_Geographic,Scalability_A_Justification,Scalability_B_Method,Scalability_B_Justification,Scalability_C_Data,Scalability_C_Justification,Scalability_Score,Quality_Citations,Quality_Confidence,Quality_Score,Combined_Score,Final_Benchmark,citations,Confidence,Link
Forest Protection & Sustainable Management,1,Regional Prioritization for Forest Restoration across California’s Sierra Nevada,The Nature Conservancy (Rodd Kelsey et al.),2017,Technical report,"Regional (Sierra Nevada, USA)",MCDA / weighted overlay,1,"The analysis was applied at the watershed scale (HUC-12 units) across California’s Sierra Nevada region, encompassing about 1,149 watersheds. This constitutes a sub-national, regional application rather than national or multi-country study.",2,"Reasoning: The method is a standard rule-based MCDA/overlay using thresholded indices, which is modular and could be replicated in other regions by substituting local indicators and thresholds; since it lacks explicit weights, uncertainty analysis, and a fixed global parameter kit, some local tuning is required.",2,"The summary cites USFS eVEG, CALVEG, CNDDB, Freshwater Species Database, Meadow GIS, Fire Return Interval Departure, Fire Risk Index (Sanborn), MTBS, and FACTS treatment records; most are regional/US-specific, though they are publicly available, so replicating the analysis elsewhere would require equivalent open datasets or substitutes (global land cover, global biodiversity layers, other wildfire histories) and region-appropriate watershed units. Therefore, generalizability is MIXED",2,1,1,1,1.5,Low,15,Low,https://www.scienceforconservation.org/products/sierra-blueprint
Forest Protection & Sustainable Management,2,A Guide to the Restoration Opportunities Assessment Methodology (ROAM),IUCN & WRI,2014,Methodological working paper,Global (methodology),Suitability mapping (multi-criteria),2,"The spatial analysis was applied at national scale, as demonstrated by Mexico producing national priority maps using country-level GIS data (with Guatemala and Ghana cited as national-scale applications)",2,"The ROAM workflow is generalizable (phased, dual spatial approaches) but relies on locally defined workshop rules and data, so outputs are context-specific and require local adaptation rather than full replication",2,"Reasoning: The inputs include Mexico’s national GIS maps (forest zoning, economic pressures on forests, soil conditions, fire resilience, potential land use) at ~1:250,000 scale; stakeholder surveys used for costs in Ghana; IPCC Tier 1 carbon estimation; and other maps from existing maps, literature, and knowledge/digital mapping approaches, all of which are largely national or sub-national in origin rather than global open data. This mix suggests reliance on national datasets plus some global-method inputs, making generalization feasible only with equivalent regional data",2,3,3,3,2.5,High,300,High,https://portals.iucn.org/library/sites/library/files/documents/2014-030.pdf
Forest Protection & Sustainable Management,3,"Landscapes, at Your Service: Applications of the Restoration Opportunities Optimization Tool (ROOT)",IUCN (Global Forest and Climate Change Programme),2018,Report (tool case studies),"Multi-country (e.g. Brazil, Malawi, Myanmar)",Spatial optimisation,3,"The ROOT analysis was applied in Brazil, Malawi, Myanmar, Colombia, and Costa Rica at landscape or jurisdictional (sub-national) scales within each country, i.e., a multi-country application",2,"The ROOT/ROAM optimization framework is a generalizable, multi-objective, rule-based spatial allocation approach (linear programming with randomized weights) that is described as scale-independent and transferable across national or subnational contexts; however, its transfer requires re-creating or adapting local inputs (impact rasters, beneficiary maps) and region-specific objectives/constraints, plus local GIS expertise, so it is not plug-and-play with fixed global parameters.",2,"Data sources mentioned include InVEST-based modelling of biophysical services, beneficiary distributions, and economic/social metrics, plus stakeholder-validated national datasets across Brazil, Malawi, Myanmar, Colombia, and Costa Rica; the framework is designed to take any spatially explicit raster data but relies on high-quality local datasets, suggesting replication in a new region would require substantial local data alongside the general methodology; therefore generalizability is MIXED (2)",2,2,2,2,2,Medium,50,Medium,https://www.iucn.org/resources/publication/landscapes-your-service
Forest Protection & Sustainable Management,4,WePlan – Forests: Decision Support Platform for Spatial Planning of Forest Ecosystem Restoration,CBD Secretariat & International Institute for Sustainability (with CIFOR and partners),2020,Tool platform (documentation),Global (tropical countries focus),Spatial optimisation,2,"The spatial analysis was applied at the national scale in China, using 1 km² planning units across about 64 million hectares within the WePlan domain. This demonstrates national-scale spatial prioritization rather than local or sub-national applications",2,"The method uses a general LP-based spatial optimization with clear trade-off handling, and could be reproduced elsewhere; however, applying it elsewhere requires region-specific input data (benefits, costs, land availability) and locally calibrated weights/parameters to reflect local priorities.",3,"Input datasets include Copernicus 2019 land cover; 100 m AGB maps (CCI); SPARC species distribution models; WorldClim bioclimatic variables; SoilGrids soil parameters; gridded GDP (Kummu et al. 2018); MapSPAM/FAOSTAT-derived land rents; and establishment-cost data from World Bank projects; plus a China-specific biodiversity dataset of 9,394 forest-associated species used for weighting. All of these are globally available or globally substitutable (the China species list can be replaced with regional/global SDMs if needed), so the approach is largely replicable in other regions using equivalent open datasets",2,2,1,2,2,Medium,30,Low,https://www.weplan-forests.org/
Forest Protection & Sustainable Management,5,Mano River Union (West Africa) Forest Landscape Restoration Opportunities Assessment (transboundary ROAM),EU PAPFor Program / Mano River Union (draft report),2023 (draft),Analytical report,"Regional (Guinea, Sierra Leone, Liberia, Côte d’Ivoire)",Spatial screening / feasibility,3,"Reasoning: The spatial analysis was applied across four MRU transboundary landscapes spanning Guinea, Sierra Leone, Liberia, and Côte d’Ivoire, using 5 km buffers around protected areas—i.e., a transboundary, multi-country landscape-scale application.",2,"The spatial SMCA framework with rule-based prioritisation is a standard, framework-level method that could be applied in other regions. However, its transferability is limited by reliance on country-specific intervention harmonisation, local verification, and non-documented SMCA weights, requiring local adaptation",2,"Reasoning: The inputs include globally accessible datasets (ESA Sentinel-2 land-cover-derived maps, global rainfall erosivity and soil erodibility data, slope from DEM, buffers around protected areas) and a strong local component (national ROAM activity reports and local stakeholder validation) used to harmonize outputs; thus the methodology could be replicated using equivalent global data, but would require region-specific national inputs and validation, making generalizability mixed rather than purely global.",2,1,1,1,1.5,Low,5,Low,https://www.iucn.org/our-work/region/africa/our-projects/forest-landscape-restoration-mano-river-union
Forest Protection & Sustainable Management,6,High Carbon Stock (HCS) Approach Toolkit (v2.0),HCS Approach Steering Group (multi-stakeholder),2017,Methodology toolkit,Tropical (plantation landscapes in Asia/Africa),Spatial screening / feasibility,1,"The spatial analysis was applied to specific concession/development areas within tropical plantation landscapes (project-level land-use planning inside individual concessions), i.e., a local/sub-national scope.",2,"The HCS Approach Toolkit Module 1 is a structured, rule-based framework combining remote-sensing stratification, patch-level decision rules, and social safeguards; while its approach could be replicated in other contexts, it relies on locally calibrated biomass estimates, field validation, and region-specific thresholds and governance (e.g., FPIC, HCV integration), so transferability is moderate.",2,"Data sources mentioned include satellite imagery for high-resolution land cover with ground-truthing, optional LiDAR (full-coverage or transects) for above-ground biomass, field inventory plots for calibration, participatory mapping and FPIC-derived social/tenure data, and biodiversity inputs via HCV assessments and Rapid Biodiversity Assessments, with outputs refined through ground-truthing. While satellite imagery and some global datasets underpin the method, critical inputs like LiDAR, field plots, participatory and social data, and HCV/RBA data are largely local and not globally available by default, so the approach is mixed in generalizability and replicability",2,2,2,2,2,Medium,80,Medium,https://highcarbonstock.org/publications/
Forest Protection & Sustainable Management,8,Decision Support Tools for Forest Landscape Restoration: Current Status and Future Outlook,CIFOR (Chazdon & Guariguata),2018,Occasional Paper (review),Global,Other (method review),2,"The summary notes that most decision-support tools operated at national or sub-national scales (with some at landscape or watershed levels), indicating the largest demonstrated geographic scope is national/sub-national rather than local or global",2,"The spatial approach comprises standard, documented steps (readiness, opportunity mapping, ES modeling, optimization) but its outputs depend on local weights, data, and calibration, requiring regional adaptation",2,"Data inputs span biophysical (land cover, soils, slope, climate, carbon stocks, hydrology), biodiversity (species distributions, habitat suitability), and socioeconomics (land tenure, agricultural profitability, land value, livelihoods) plus cost proxies. While many biophysical and biodiversity layers are available globally as open data (e.g., Copernicus land cover, SoilGrids, WorldClim/ERA5, carbon stock maps, broad species datasets), key governance and socioeconomic indicators are highly localized and would require regional data collection or proxies; overall, MIXED.",2,3,3,3,2.5,High,170,High,https://www.cifor-icraf.org/knowledge/publication/6792/
Forest Expansion & Regeneration,6,Afforestation and Reforestation Recommendation Module – Green‒HIT project,Frederick University & partners (EU-funded),2023,Project technical report (deliverable),Cyprus (pilot; Mediterranean dry forests),MCDA / weighted overlay,1,"The method was developed and tested in Cyprus, focusing on Solea and Argaka fire events, i.e., a sub-national region within a single country. Therefore, the largest demonstrated geographic scope is local/sub-national (1)",2,"It adopts a standard MCDA framework (AHP with weighted summation) and global datasets, which could be applied elsewhere with similar data; however, the criterion weights and their relative importance are derived from local expert input, meaning local adaptation is required for new regions.",2,"Data sources listed include Sentinel-2 imagery with NDVI/NBR/dNBR indices, MODIS burned area and LST, CORINE land cover, SRTM elevation, CHIRPS precipitation, EFFIS fire history, Copernicus tree density, and Copernicus land cover; while most inputs are globally available open data (Sentinel-2, MODIS, SRTM, CHIRPS), CORINE and EFFIS are Europe-centric and would require regional substitutes in other regions, so the approach is MIXED.",2,1,1,1,1.5,Low,5,Low,https://greenhit-project.eu/deliverables/
Forest Expansion & Regeneration,7,Restoring Hope Project: Optimizing and aligning restoration goals using spatial data (Colombia),UNDP & CBD (with Colombia Min. Environment),2024,Technical report (pilot project),Colombia (also piloted in 4 other countries),Spatial optimisation,2,"Reasoning: The analysis was applied to Colombia at a national scale, using country-wide gridded (250 m) habitat and degradation layers to produce nationwide priority maps for restoration planning.",2,"The method presents a general, six-stage SCP workflow with a budgeted optimization and multi-layer benefits that could be applied elsewhere with standard data. However, it hinges on locally elicited weights and region-specific proxy choices (opportunity cost, climate risk) plus governance context, requiring substantial regional adaptation",2,Data sources mix global/open datasets (IUCN habitat classifications tied to climate/elevation/topography; VoCC climate-risk layers; agricultural suitability proxies; general national-scale raster layers) with Colombia-specific datasets (Humboldt Institute degradation mapping; national integrity analyses; Indigenous/Black rural community layers; rural poverty metrics). This combination suggests a mixed level of generalizability,2,1,1,1,1.5,Low,5,Low,https://www.cbd.int/gbf/targets/2/restoring-hope/
Crop Production Systems,2,Mapping opportunities for cocoa agroforestry in Côte d’Ivoire: Assessing its potential to contribute to national forest cover restoration targets and ecosystem services co-benefits,UN-REDD Programme (UNEP-WCMC & Partners),2021,Technical report,Côte d’Ivoire,Suitability mapping,3,"Geography: national territories of Ghana and Côte d’Ivoire were used as the units of analysis, i.e., national-scale applications in each country and spanning two countries. Because the method was applied across multiple countries, the largest scope demonstrated is multi-country",2,"The framework is a general, rule-based spatial prioritisation workflow using standard GIS overlays (climate suitability, exclusions, co-benefits) that could be applied elsewhere, but it relies on crop- and region-specific thresholds and local data calibration, requiring local adaptation",3,"Reasoning: The inputs are climate data, cocoa distribution/production maps, land cover and forest integrity maps, protected area boundaries, tree cover/biomass layers, and degradation/restoration datasets drawn from global and national open sources and remote-sensing products; there is no mention of field surveys or proprietary datasets, and the methodology relies on globally available layers that can be substituted in other regions.",3,2,2,2,2.5,High,30,Medium,https://projects.sare.org/sare_project/gnc22-344/
